"Cancer","Mean_logCPM","Median_logCPM","SD_logCPM","HR","p_value"
"TCGA-KIRC",8.00908711526624,8.16798539527703,1.14804479205901,0.688678876747916,1.078445976747e-10
"TCGA-KIRP",4.78596644565449,4.57263251337579,1.21731192334929,1.14700210986875,0.0479218909225992
"TCGA-UCEC",7.50311252250725,7.4856372968504,1.28615623916623,0.78032939461205,0.00323336115024185
"TCGA-LUAD",6.16322593891778,6.2234109602345,0.775114908275874,1.06830658255686,0.463976040115333
"TCGA-LUSC",5.44515476750265,5.43571896430761,0.990327644497491,1.10805755618449,0.10047104426237
"TCGA-STAD",6.61353125844545,6.63688325010216,0.828977368319796,1.05905099285246,0.545297838578911
"TCGA-OV",7.50496315003593,7.49964798841747,1.1572535326759,1.02745800399917,0.611989730981827
"TCGA-PAAD",7.21162618621861,7.12003440741993,0.968445667308764,1.32715716932767,0.00503237496508825
"TCGA-LIHC",4.89128756162414,4.97686051349217,1.11609590556243,0.945600977405639,0.471385147443808
"TCGA-HNSC",5.29366553532071,5.29140889628807,1.02598270534125,0.896199604386426,0.0828340297760638
"TCGA-COAD",6.33076971905407,6.32648324870982,0.781384188545428,1.25935758351347,0.0593745007047165
